1,B,B,B,A,B,D,A,B,B,B,A,A,A,A,A,A,B,B,A,B,B,B,B,B,A,A,B,B,A,A,B,A,A,B,A,B
2,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A
3,A,B,C,B,A,D,B,B,B,B,A,B,A,A,A,B,A,A,A,B,B,B,B,B,B,A,B,B,A,A,A,A,A,A,A,A
4,C,B,D,D,B,D,C,D,A,D,B,B,B,B,B,B,C,B,C,B,B,B,B,B,D,A,A,D,B,B,B,B,B,C,B,A
5,D,B,B,D,C,D,B,A,B,D,B,C,B,A,A,B,B,B,A,A,A,A,C,B,A,A,A,B,A,A,C,B,A,B,A,A
6,E,D AND E,C,B,D AND E,D,B AND C,E,E,E,B,B,C,C,E,D,E,C,B,E,E,E,C,A,D,D AND E,C,E,C,,E,D,D AND E,B,B,B AND D
7,A,C,B,B,A,A,B,B,A,C,C,A,B,B,B,B,B,B,B,D,D,B,C,C,B,B,B,B,B,B,B,B,B,B,B,B
8,D,D ,C,A,C,D,B,B,C,A,A,C,A,B,B,B,A,D,B,C,D,B,A,A,A,B,A,B,A,A,B,A,A,B,A,A
9,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,,B,B,B,B,B,,B,B,B,B,B,B
10,A,A,B,A,A,C,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,B,B,A,B,B,A
11,B,A,A,B,A,A,D,A,B,B,B,B,D,A,A,C,A,A,A,A,B,A,B,D,A,B,A,A,B,A,A,B,,A,A,A
12,D,C,E,B,B,E,E,B,B,B,B,B,E,D,B,B,E,E,D,D,E,D,B,B,E,B,E,B,B,A,A,E,E,B,E,B
