1,A,A,A,A,A,A,A,A,A,A,B,B,A,D,A,A,B,A,B,B,A,C,A,A,C,B,A,A,A,A,A,A
2,A,B,B,A,A,A,A,A,A,A,B,A,A,D,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,B,A
3,B,C,B,A,A,A,D,D,D,A,D,A,B,D,A,B,A,C,A,B,D,B,B,B,B,B,B,B,A,A,C,A
4,C,D,D,A,B,A,C,B,D,A,D,B,D,D,A,C,D,B,B,D,C,D,C,C,D,A,C,C,C,B,D,B
5,B,D,B,A,B,A,A,A,A,A,B,C,A,D,A,B,B,C,B,A,A,A,A,A,B,A,C,C,A,A,C,B
6,D,B,C,C AND E,E,B,C,C,D AND E,A AND B AND D AND E,B AND C AND D AND E,D,D AND E,A AND B AND C AND D AND E,D,E,D,E,D,C,E,E,E,E,C,,C,E,E,D,C,C
7,B,A,B,B,B,B,B,B,A,B,A,A,B,D,A,B,B,A,A,B,C,A,B,A,A,B,B,B,B,C,B,B
8,B,D,D,A,A,B,B,C,C,A,D,B,C,D,A,A,B,C,A,D,B,C,D,B,C,A,B,B,B,A,B,B
9,B,A,A,B,B,B,A,B,A,B,A,B,A,A,B,B,B,B,B,A,B,A,A,A,B,B,B,B,B,B,B,B
10,B,E,C,B,A,C,B,A,B,A,D,B,B,A,C,B,C,E,B,A,B,B,E,B,C,A,A,B,A,A,A,A
11,A,A,A,B,A,B,B,A,A,,A,B,D,A,D,A,A,A,B,D,B,D,A,A,A,B,B,B,B,A,D,A
12,C,D,C,B,B,E,C,A,D,A,E,C,E,C,E,D,E,D,B,E,E,C,E,B,E,E,C,B,B,E,E,
