1,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,B,A,A,A,B,A,A,A,A,A
2,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A
3,B,B,D,D,D,A,C,B,C,A,A,A,B,B,B,A,B,B,B,C,A,D,A,B,B,C,B,A,B,A,B
4,,B,C,B,D,D,D,C,D,C,B,C,C,D,B,C,C,C,D,D,C,D,C,D,D,C,C,C,D,C,A
5,B,B,B,D,D,B,C,A,C,A,A,A,A,A,A,B,A,B,B,A,A,B,A,B,A,A,D,B,C,A,A
6,,,,E,C,A,D,,E,D,B,E,A,D,,,C,E,,C,D,D,E,C,D,D,,C,,C,E
7,B,A,B,C,D,A,B,A,C,A,A,A,B,A,C,B,A,A,B,B,A,D,A,B,C,B,B,A,A,A,B
8,C,A,A,A,A,C,A,A,B,D,A,A,A,A,B,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A
9,A,B,A,B,B,B,B,,B,D,B,D,B,A,D,A,C,A,B,A,A,D,A,D,B,D,D,A,,A,A
10,E,A,E,B,B,B,B,E,E,D,D,B,E,D,B,A,E,B,B,B,B,B,A,A,B,B,B,E,B,B,E
