1,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,B,A,B,A,B,A,A,A,B,A,B,A
2,A,A,B,A,A,B,A,B,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A
3,D,D,C,B,B,C,B,C,C,A,B,C,B,B,A,D,A,D,D,A,C,B,A,D,B,B,C,D,B,B
4,D,B,C,C,C,A,C,B,B,A,D,D,C,C,B,D,C,A,D,C,C,A,B,D,A,C,B,A,A,B
5,B,B,C,B,A,A,A,A,B,A,C,B,D,B,A,D,B,A,D,A,B,D,A,D,B,A,B,A,D,A
6,B,C,E,C,,E,C,D,C,D,B,C,B,A,E,B,B,D,C,,C,D,D,D,C,E,C,E,A,A
7,D,B,B,C,A,B,,D,C,A,B,A,A,B,B,D,A,B,C,A,C,B,B,C,A,B,B,C,A,B
8,A,C,A,A,A,D,A,C,A,A,B,A,A,B,B,D,B,A,B,A,A,C,C,D,D,A,B,A,A,C
9,B,D,A,D,A,D,D,A,A,C,B,B,B,D,D,D,D,C,D,A,A,D,D,A,C,C,D,A,A,A
10,B,E,D,E,E,B,E,E,E,E,D,B,B,E,E,B,A,B,E,D,B,E,E,B,B,E,B,A,D,C
