1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,B,A,A,A,A,B,A,A,B
2,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,B,A,B,A,A,B,A,A,A
3,A,B,A,A,A,A,C,C,C,B,A,A,A,A,A,A,C,D,B,A,C,A,D,B,B,B,D,B,B,B
4,D,D,D,D,A,C,C,C,C,C,C,C,C,B,C,C,C,D,C,C,C,A,A,E,C,C,D,A,A,A
5,C,C,B,C,B,A,A,A,B,B,A,A,A,B,A,D,A,A,B,A,A,B,B,C,A,A,C,C,B,B
6,C,D,C,C,E,,,E,C,E,,C,B,C,C,D,E,C,,,E,E,C,,D,C,D,D,D,C
7,C,B,B,A,A,A,A,B,A,A,A,B,A,B,A,A,A,D,A,A,B,A,A,B,A,A,B,B,,B
8,C,B,A,A,A,A,A,A,A,B,A,A,C,B,A,E,A,A,A,A,A,B,A,B,A,A,A,C,A,B
9,D,A,D,B,D,A,A,A,D,D,A,A,D,D,D,D,D,D,,D,D,A,D,C,A,A,D,A,D,D
10,D,D,B,C,D,A,B,A,B,E,A,A,E,E,C,B,E,E,A,B,D,E,D,C,A,D,B,B,C,A
