1,B,A,B,B,A,C,C,B,A,A,C,A,C,A,A,B,D,B,A,B,B,A,D,B,C,B,B,A
2,A,A,A,A,B,C,B,B,A,A,A,A,A,A,B,B,C,A,A,B,B,A,B,A,C,C,A,A
3,C,B,C,B,C,D,B,B,B,B,C,C,D,C,C,D,C,D,A,C,B,C,B,B,C,D,A,A
4,D,C,A,B,C,C,B,D,A,C,C,D,B,D,D,D,B,D,C,D,D,A ,B,C,D,B,B,B
5,B,B,B,C,A,B,D,B,B,A,A,A,B,D,A,D,D,B,A,C,A,A,D,B,C,D,B,A
6,A AND C,D,D,A,A,E,C,D,E,D,C,D,B,D,E,A,B,C,B,E,C,B AND E,E,B,E,C,B,D
7,A,B,D,C,B,D,C,D,A,A,B,C,C,C,B,B,D,D,A,B,C,A,D,C,C,C,B,A
8,B,B,A,C,C,A,D,D,E,A,A,A,B,B,B,A,A,A,A,C,B,B ,C,A,A,A,B,C
9,A,A,D,D,D,D,D,D,A,B,A,D,A,A,B,D,B,D,A,D,D,C ,D,D,A,D,D,D
10,B,E,A,C,E,D,B,B,E,B,E,E,E,E,E,E,B,B,A,B,D,,E,E,E,E,C,E
